PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Bradley Beal,SG,0.06,8.5,9,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8'',2012
J'Covan Brown,PG,0.13,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25'',2012
William Buford,SG-SF,0.11,8.75,10,6' 4'',6' 5'',8' 6'',214.6,6' 9.5'',2012
Jae Crowder,SF,0.09,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25'',2012
Jared Cunningham,SG-PG,0.04,8.25,9,6' 3.5'',6' 5'',8' 2'',187.6,6' 6.5'',2012
Anthony Davis,PF-C,0.08,9,8.5,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5'',2012
Marcus Denmon,SG,0.07,8.25,9.75,6' 2.25'',6' 3.25'',7' 10.5'',188.2,6' 5'',2012
Andre Drummond,C,0.08,9.5,9.5,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25'',2012
Kim English,SG,0.04,8.5,8.75,6' 4.5'',6' 5.75'',8' 2'',192,6' 6.5'',2012
Festus Ezeli,C-PF,0.06,9,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75'',2012
Drew Gordon,PF,0.09,8.5,9.75,6' 8'',6' 8.75'',8' 7.5'',239,6' 11.5'',2012
JaMychal Green,PF,0.1,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25'',2012
Draymond Green,PF-SF,0.11,9,9.5,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25'',2012
Maurice Harkless,SF,0.05,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0'',2012
John Henson,PF,0.09,9.25,10,6' 9'',6' 10.5'',9' 4'',216,7' 5'',2012
Tu Holloway,PG,0.09,8.75,10,5' 10.5'',5' 11.75'',7' 10.5'',186.8,6' 5.5'',2012
Robbie Hummel,SF,0.09,8.5,9.5,6' 7.25'',6' 8.5'',8' 6'',218,6' 8.5'',2012
Bernard James,PF,0.05,9,9.25,6' 8.75'',6' 10'',9' 0.5'',229.8,7' 3'',2012
John Jenkins,SG,0.07,9,9,6' 3.25'',6' 4.25'',8' 2'',212,6' 8.5'',2012
Orlando Johnson,SG,0.07,9,9.5,6' 3.75'',6' 5.25'',8' 3'',223.8,6' 11.25'',2012
Darius Johnson-Odom,SG,0.07,8.75,8.75,6' 1.5'',6' 3'',8' 0'',212,6' 7'',2012
Terrence Jones,PF-SF,0.08,9,10,6' 8.25'',6' 9.5'',8' 11'',252,7' 2.25'',2012
Kevin Jones,PF,0.11,9,7.75,6' 6.25'',6' 7.5'',8' 9'',251.2,7' 1.5'',2012
Perry Jones,PF-SF,0.05,9.25,9.5,6' 10.25'',6' 11.25'',8' 11'',233.8,7' 1.75'',2012
Kris Joseph,SG,0.09,9,9,6' 6'',6' 7'',8' 8'',215,6' 11'',2012
Michael Kidd-Gilchrist,SF,0.07,9,10.25,6' 5.75'',6' 7.5'',8' 8.5'',232.8,7' 0'',2012
Doron Lamb,SG-PG,0.07,8.5,8.75,6' 3.25'',6' 4.75'',8' 2.5'',199.4,6' 6.75'',2012
Jeremy Lamb,SG,0.05,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11'',2012
Meyers Leonard,C,0.06,9.25,11,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3'',2012
Damian Lillard,PG,0.06,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75'',2012
Scott Machado,PG,0.06,8.5,9.5,6' 1'',6' 2'',7' 10.5'',205.8,6' 4'',2012
