PLAYER,POS,LANE_AGILITY_TIME,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MAX_BENCH_PRESS,YEAR
Cory Joseph,PG,10.75,-,3.27,27.50,35.00,5.00,2011
Enes Kanter,PF-C,11.30,-,3.26,26.00,32.50,14.00,2011
Brandon Knight,PG,10.74,-,3.07,29.00,37.50,10.00,2011
Malcolm Lee,SG,11.20,-,3.09,30.00,35.50,17.00,2011
Kawhi Leonard,SF,11.45,-,3.15,25.50,32.00,3.00,2011
Travis Leslie,SG,11.00,-,3.13,33.00,40.50,10.00,2011
Jon Leuer,PF,10.82,-,3.36,29.50,36.50,14.00,2011
DeAndre Liggins,SF-SG,-,-,3.33,27.00,31.00,6.00,2011
David Lighty,SG,10.81,-,3.25,28.50,33.00,15.00,2011
Shelvin Mack,PG,11.23,-,3.18,32.00,39.00,17.00,2011
Demetri McCamey,PG,11.55,-,3.19,27.00,33.00,-,2011
E'Twaun Moore,SG,11.12,-,3.31,32.00,34.50,-,2011
Marcus Morris,PF-SF,-,-,3.15,29.00,33.00,11.00,2011
Markieff Morris,PF,-,-,3.40,27.00,31.50,11.00,2011
Darius Morris,PG-SG,11.00,-,3.20,24.50,32.00,12.00,2011
Chandler Parsons,SF,11.05,-,3.29,25.50,31.50,4.00,2011
Jereme Richmond,SF,11.74,-,3.02,27.00,33.50,0.00,2011
Josh Selby,SG-PG,11.13,-,3.20,29.50,42.00,5.00,2011
Iman Shumpert,PG-SG,11.10,-,3.18,36.50,42.00,18.00,2011
Kyle Singler,SF,11.22,-,3.21,23.00,30.00,10.00,2011
Chris Singleton,SF,11.33,-,3.09,30.50,37.50,15.00,2011
Jamie Skeen,PF,12.43,-,3.46,26.00,30.50,10.00,2011
Nolan Smith,PG,11.05,-,3.17,28.50,34.00,9.00,2011
